COUNTY NAME,COUNTY CODE,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS
APPLING,1,393,692,0,2693,3102,0,10,8,0,23,39,0,2,0,0,7,9,0,56,75,0,7109
ATKINSON,2,200,310,0,917,1078,0,1,0,0,35,57,0,1,3,0,3,1,0,12,15,0,2633
BACON,3,106,267,1,1592,1887,1,7,4,0,11,16,0,2,0,0,2,7,0,73,75,0,4051
BAKER,4,225,365,0,415,433,0,3,4,0,2,2,0,0,1,0,1,1,0,8,11,0,1471
BALDWIN,5,2225,4078,1,4359,5054,6,42,44,0,41,63,0,6,5,0,25,27,0,157,176,2,16311
BANKS,6,49,43,0,3155,3417,1,12,17,0,38,37,0,2,1,0,9,15,0,118,120,5,7039
BARROW,7,1059,1860,4,10697,12470,26,127,157,1,352,510,4,7,8,0,76,92,1,861,961,17,29290
BARTOW,8,1181,2002,2,15321,17298,16,70,72,1,317,373,0,12,12,0,96,100,0,1467,1565,13,39918
BEN HILL,9,578,1235,0,1876,2159,1,8,13,0,18,34,0,0,0,0,5,12,0,36,52,1,6028
BERRIEN,10,218,348,0,2787,3041,3,9,9,0,15,30,0,3,2,0,9,6,0,95,96,0,6671
BIBB,11,10482,19815,3,13460,16198,8,248,243,2,128,245,1,15,16,0,141,209,0,851,997,25,63087
BLECKLEY,12,253,556,0,1936,2110,2,10,11,0,6,12,0,1,2,0,6,10,0,54,66,1,5036
BRANTLEY,13,53,108,0,2816,3209,0,3,5,0,8,8,0,3,2,0,7,8,0,79,76,1,6386
BROOKS,14,740,1330,0,1844,2075,1,4,7,0,19,32,0,3,1,0,14,13,0,143,149,0,6375
BRYAN,15,727,1160,3,5447,6239,5,55,76,0,131,167,0,18,6,0,46,79,1,562,644,5,15371
BULLOCH,16,1953,3684,3,8302,9686,10,64,73,0,110,138,1,2,3,0,57,77,0,721,833,7,25724
BURKE,17,1573,2820,2,2305,2434,2,7,14,0,22,15,0,3,3,0,12,17,0,118,140,1,9488
BUTTS,18,733,1216,2,3236,3677,4,6,17,0,34,30,0,3,1,0,16,19,0,287,341,3,9625
CALHOUN,19,398,730,0,415,467,0,4,6,0,3,3,0,0,0,0,0,2,0,9,5,1,2043
CAMDEN,20,1203,1946,1,6059,6884,5,43,100,0,123,168,0,10,11,0,62,108,0,1150,1289,4,19166
CANDLER,21,279,430,0,1333,1537,1,4,6,0,20,33,0,0,1,0,4,8,0,76,70,0,3802
CARROLL,22,2398,4275,6,15647,18095,23,70,94,0,222,308,0,9,15,0,99,174,1,1469,1760,12,44677
CATOOSA,23,169,246,0,10858,12953,25,41,57,0,66,99,0,3,8,0,45,45,0,1166,1325,6,27112
CHARLTON,24,276,476,0,1381,1574,2,13,4,0,4,3,0,1,1,0,4,14,0,162,157,0,4072
CHATHAM,25,14249,26430,18,28666,34447,41,447,560,4,644,959,2,35,37,0,427,630,1,2502,3084,77,113260
CHATTAHOOCHEE,26,151,272,0,391,463,0,7,7,0,13,19,0,1,2,0,2,9,0,34,48,0,1419
